Time (ns),non-Water after lsq fit to non-Water
0.0829020,0.3251388
0.0829840,0.3255664
0.0830660,0.3156965
0.0831480,0.3442721
0.0832300,0.3484691
0.0833120,0.3743448
0.0833940,0.3751773
0.0834760,0.3708272
0.0835580,0.3533865
0.0836400,0.3746616
0.0837220,0.3396056
0.0838040,0.3570623
0.0838860,0.3576722
0.0839680,0.3395343
0.0840500,0.3618814
0.0841320,0.3573386
0.0842140,0.3482440
0.0842960,0.3489425
0.0843780,0.3442888
0.0844600,0.3574700
0.0845420,0.3785419
0.0846240,0.3439651
0.0847060,0.3530527
0.0847880,0.3536597
0.0848700,0.3579295
0.0849520,0.3304289
0.0850340,0.3395520
0.0851160,0.3574055
0.0851980,0.3575150
0.0852800,0.3744620
0.0853620,0.4071470
0.0854440,0.3619355
0.0855260,0.3532036
0.0856080,0.3573460
0.0856900,0.3575622
0.0857720,0.3442256
0.0858540,0.3399188
0.0859360,0.3252935
0.0860180,0.3528639
0.0861000,0.3483041
0.0861820,0.3483149
0.0862640,0.3660811
0.0863460,0.3485219
0.0864280,0.3571950
0.0865100,0.3298466
0.0865920,0.3303982
0.0866740,0.3579694
0.0867560,0.3661000
0.0868380,0.3439221
0.0869200,0.3660639
0.0870020,0.3438613
0.0870840,0.3443644
0.0871660,0.3441793
0.0872480,0.3707070
0.0873300,0.3529778
0.0874120,0.3617986
0.0874940,0.3622847
0.0875760,0.3619452
0.0876580,0.3348985
0.0877400,0.3153562
0.0878220,0.3253378
0.0879040,0.3300195
0.0879860,0.3305433
0.0880680,0.3398053
0.0881500,0.3829036
0.0882320,0.3701994
0.0883140,0.3659547
0.0883960,0.3664499
0.0884780,0.3442765
0.0885600,0.4031244
0.0886420,0.3395588
0.0887240,0.3663403
0.0888060,0.3347756
0.0888880,0.3351618
0.0889700,0.3707266
0.0890520,0.3576844
0.0891340,0.3745466
0.0892160,0.3575133
0.0892980,0.3578306
0.0893800,0.3349475
0.0894620,0.3666479
0.0895440,0.3443629
0.0896260,0.3394830
0.0897080,0.3948292
0.0897900,0.3953082
0.0898720,0.3831928
0.0899540,0.3794576
0.0900360,0.3346140
0.0901180,0.3574362
0.0902000,0.3482370
0.0902820,0.3487103
0.0903640,0.3662327
0.0904460,0.3871084
0.0905280,0.3393779
0.0906100,0.3571049
0.0906920,0.3576577
0.0907740,0.3913510
0.0908560,0.3303714
0.0909380,0.3533240
0.0910200,0.3529793
0.0911020,0.3617478
0.0911840,0.3622418
0.0912660,0.3829974
0.0913480,0.3786455
0.0914300,0.4066380
0.0915120,0.3949078
0.0915940,0.3953217
0.0916760,0.3833937
0.0917580,0.3576810
0.0918400,0.3487825
0.0919220,0.3297564
0.0920040,0.3615742
0.0920860,0.3621553
0.0921680,0.3350154
0.0922500,0.3350345
0.0923320,0.3440757
0.0924140,0.3345267
0.0924960,0.3353450
0.0925780,0.3203844
0.0926600,0.3348427
0.0927420,0.3349829
0.0928240,0.3349432
0.0929060,0.3483983
0.0929880,0.3487439
0.0930700,0.3792812
0.0931520,0.3789537
0.0932340,0.3617536
0.0933160,0.3747282
0.0933980,0.3751602
0.0934800,0.3489939
0.0935620,0.3205934
0.0936440,0.3619807
0.0937260,0.3660974
0.0938080,0.3703688
0.0938900,0.3709606
0.0939720,0.3207225
0.0940540,0.3003915
0.0941360,0.3576312
0.0942180,0.3660725
0.0943000,0.3574253
0.0943820,0.3575036
0.0944640,0.3707267
0.0945460,0.3253194
0.0946280,0.3486286
0.0947100,0.3528472
0.0947920,0.3534106
0.0948740,0.3252617
0.0949560,0.3251280
0.0950380,0.3747574
0.0951200,0.3786256
