Time (ps),Radius (nm)
2372,1.5836
2376,1.58368
2380,1.5828
2384,1.58363
2388,1.58326
2392,1.58356
2396,1.58294
2400,1.58292
2404,1.58363
2408,1.58265
2412,1.58332
2416,1.5844
2420,1.58237
2424,1.58303
2428,1.5834
2432,1.5832
2436,1.58382
2440,1.58384
2444,1.58369
2448,1.58288
2452,1.58295
2456,1.58376
2460,1.58327
2464,1.58308
2468,1.58367
2472,1.58355
2476,1.58311
2480,1.58336
2484,1.58378
2488,1.58313
2492,1.58388
2496,1.5832
