E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
663.125,5.76758,5.64561,0.121974
664.46,5.59718,5.47566,0.121523
665.794,6.08123,5.96015,0.121073
667.128,5.72901,5.60838,0.120627
668.462,6.04162,5.92144,0.120182
669.797,6.07635,5.95661,0.11974
671.131,4.99057,4.87127,0.119301
672.465,5.46017,5.34131,0.118863
673.799,5.07721,4.95878,0.118428
675.134,5.68843,5.57044,0.117996
676.468,5.58284,5.46528,0.117565
677.802,5.73232,5.61518,0.117137
679.136,5.76993,5.65322,0.116712
680.471,5.88063,5.76434,0.116288
681.805,5.46354,5.34768,0.115867
683.139,4.98812,4.87268,0.115448
684.474,5.21367,5.09863,0.115031
685.808,5.42624,5.31162,0.114616
687.142,5.70519,5.59099,0.114204
688.476,5.33552,5.22172,0.113794
689.811,5.00457,4.89118,0.113386
691.145,4.79846,4.68548,0.11298
692.479,5.15466,5.04209,0.112576
693.813,5.02524,4.91306,0.112174
695.148,5.24184,5.13006,0.111774
696.482,5.11206,5.00069,0.111377
697.816,5.14413,5.03315,0.110981
699.15,5.14444,5.03386,0.110588
700.485,4.81085,4.70066,0.110196
701.819,5.11105,5.00124,0.109807
703.153,4.93397,4.82455,0.109419
704.487,5.28039,5.17135,0.109034
705.822,4.70847,4.59982,0.10865
707.156,5.12396,5.01569,0.108269
708.49,4.72828,4.62039,0.107889
709.824,4.61572,4.50821,0.107512
711.159,5.02857,4.92143,0.107136
712.493,4.66495,4.55819,0.106763
713.827,4.981,4.87461,0.106391
715.161,4.9773,4.87128,0.106021
716.496,4.74686,4.6412,0.105653
717.83,4.57903,4.47374,0.105287
719.164,4.71847,4.61355,0.104922
720.498,4.69995,4.59539,0.10456
721.833,4.66059,4.55639,0.104199
723.167,4.82645,4.72261,0.10384
724.501,4.84641,4.74293,0.103483
725.835,4.71129,4.60816,0.103128
727.17,4.70844,4.60566,0.102775
728.504,4.74551,4.64309,0.102423
729.838,4.96957,4.86749,0.102073
731.172,4.14547,4.04375,0.101725
732.507,4.33807,4.2367,0.101378
733.841,4.96981,4.86878,0.101034
735.175,4.54563,4.44494,0.100691
736.51,4.94784,4.84749,0.10035
737.844,4.01453,3.91452,0.10001
739.178,4.1154,4.01573,0.099672
740.512,4.55674,4.4574,0.0993358
741.847,4.09109,3.99209,0.0990012
743.181,4.03159,3.93292,0.0986683
744.515,4.19054,4.0922,0.098337
745.849,4.49853,4.40052,0.0980074
747.184,4.24582,4.14814,0.0976793
748.518,4.51238,4.41503,0.0973529
749.852,4.17136,4.07433,0.0970281
751.186,4.34977,4.25307,0.0967048
752.521,4.43007,4.33369,0.0963832
753.855,4.16554,4.06948,0.0960631
755.189,4.19175,4.096,0.0957445
756.523,3.99513,3.89971,0.0954275
757.858,4.30816,4.21305,0.0951121
759.192,4.13729,4.04249,0.0947982
760.526,4.14214,4.04765,0.0944858
761.86,4.05292,3.95874,0.0941749
763.195,4.07003,3.97617,0.0938655
764.529,3.90215,3.80859,0.0935576
765.863,4.45105,4.3578,0.0932511
767.197,3.93837,3.84542,0.0929462
768.532,4.2043,4.11166,0.0926427
769.866,4.02488,3.93254,0.0923407
771.2,4.20452,4.11248,0.0920401
772.534,3.9563,3.86456,0.0917409
773.869,4.02825,3.93681,0.0914432
775.203,4.12746,4.03631,0.0911469
776.537,3.87748,3.78663,0.0908519
777.871,4.44228,4.35172,0.0905584
779.206,3.72722,3.63695,0.0902663
780.54,3.92913,3.83915,0.0899756
781.874,3.9113,3.82162,0.0896862
783.208,3.79001,3.70061,0.0893982
784.543,3.71981,3.6307,0.0891116
785.877,4.22222,4.13339,0.0888263
787.211,3.79633,3.70779,0.0885424
788.546,4.07331,3.98505,0.0882598
789.88,3.99886,3.91089,0.0879785
791.214,3.72659,3.6389,0.0876985
792.548,3.88882,3.8014,0.0874198
793.883,3.69102,3.60388,0.0871425
795.217,3.66632,3.57945,0.0868664
796.551,3.507,3.42041,0.0865916
797.885,3.57831,3.49199,0.0863181
799.22,3.61589,3.52985,0.0860459
800.554,3.64006,3.55429,0.0857749
801.888,3.0146,2.9291,0.0855052
803.222,3.2516,3.16637,0.0852367
804.557,3.38377,3.2988,0.0849694
805.891,3.38303,3.29833,0.0847034
807.225,3.17895,3.09451,0.0844386
808.559,3.31347,3.22929,0.0841751
809.894,3.17232,3.0884,0.0839127
811.228,3.34043,3.25678,0.0836515
812.562,3.00764,2.92425,0.0833916
813.896,3.39988,3.31674,0.0831328
815.231,2.99718,2.91431,0.0828752
816.565,2.73365,2.65104,0.0826188
817.899,3.08052,2.99816,0.0823635
819.233,3.1207,3.03859,0.0821094
820.568,2.99358,2.91173,0.0818565
821.902,2.86573,2.78413,0.0816047
823.236,2.71785,2.63649,0.081354
824.57,2.78595,2.70484,0.0811045
825.905,2.61298,2.53212,0.0808561
827.239,2.80343,2.72282,0.0806088
828.573,2.86644,2.78608,0.0803626
829.907,2.77143,2.69131,0.0801176
831.242,2.89834,2.81846,0.0798736
832.576,2.59748,2.51785,0.0796307
833.91,2.64602,2.56663,0.0793889
835.244,2.69342,2.61427,0.0791482
836.579,2.26789,2.18898,0.0789086
837.913,2.3042,2.22553,0.07867
839.247,2.30327,2.22484,0.0784325
840.582,2.48589,2.40769,0.0781961
841.916,2.27556,2.1976,0.0779607
843.25,2.43629,2.35857,0.0777263
844.584,2.30814,2.23064,0.077493
845.919,2.4811,2.40384,0.0772607
847.253,2.40099,2.32396,0.0770295
848.587,2.38483,2.30803,0.0767992
849.921,2.46782,2.39125,0.07657
851.256,2.54158,2.46524,0.0763418
852.59,2.67451,2.59839,0.0761145
853.924,2.42557,2.34969,0.0758883
855.258,2.4982,2.42254,0.0756631
856.593,2.42104,2.3456,0.0754388
857.927,2.41548,2.34026,0.0752156
859.261,2.46328,2.38829,0.0749933
860.595,2.22286,2.14809,0.0747719
861.93,2.41908,2.34453,0.0745516
863.264,2.4169,2.34257,0.0743322
864.598,2.24785,2.17374,0.0741137
865.932,2.29999,2.2261,0.0738962
867.267,2.30063,2.22695,0.0736796
868.601,2.30174,2.22828,0.073464
869.935,2.26315,2.18991,0.0732493
871.269,2.11739,2.04435,0.0730355
872.604,2.22623,2.1534,0.0728226
873.938,2.14101,2.0684,0.0726107
875.272,2.15194,2.07954,0.0723996
876.606,2.37438,2.30219,0.0721895
877.941,2.25092,2.17894,0.0719802
879.275,2.16655,2.09478,0.0717719
880.609,2.11817,2.0466,0.0715644
881.943,2.01054,1.93918,0.0713579
883.278,2.04711,1.97596,0.0711522
884.612,2.05494,1.98399,0.0709474
885.946,1.91356,1.84281,0.0707434
887.28,1.94758,1.87704,0.0705403
888.615,1.87873,1.80839,0.0703381
889.949,1.88577,1.81563,0.0701367
891.283,1.89834,1.82841,0.0699362
892.618,1.96242,1.89269,0.0697365
893.952,1.86719,1.79766,0.0695377
895.286,1.94407,1.87473,0.0693397
896.62,1.81185,1.74271,0.0691425
897.955,1.77634,1.70739,0.0689462
899.289,1.82142,1.75267,0.0687507
900.623,1.82738,1.75882,0.068556
901.957,1.84121,1.77285,0.0683621
903.292,1.87166,1.80349,0.068169
904.626,1.75609,1.68811,0.0679768
905.96,1.76886,1.70107,0.0677853
907.294,1.80569,1.7381,0.0675946
908.629,1.79815,1.73075,0.0674047
909.963,1.75167,1.68445,0.0672156
911.297,1.81079,1.74376,0.0670273
912.631,1.79321,1.72637,0.0668398
913.966,1.72832,1.66167,0.066653
915.3,1.75315,1.68668,0.066467
916.634,1.72348,1.6572,0.0662818
917.968,1.76851,1.70241,0.0660973
919.303,1.73221,1.6663,0.0659136
920.637,1.70267,1.63694,0.0657307
921.971,1.72484,1.6593,0.0655485
923.305,1.74153,1.67616,0.065367
924.64,1.75262,1.68744,0.0651863
925.974,1.70936,1.64436,0.0650063
927.308,1.7342,1.66937,0.0648271
928.642,1.71643,1.65178,0.0646486
929.977,1.69022,1.62575,0.0644708
931.311,1.68732,1.62303,0.0642937
932.645,1.68478,1.62066,0.0641174
933.979,1.69516,1.63122,0.0639417
935.314,1.67677,1.613,0.0637668
936.648,1.68007,1.61648,0.0635926
937.982,1.68996,1.62654,0.0634191
939.316,1.67242,1.60917,0.0632463
940.651,1.6866,1.62353,0.0630742
941.985,1.68235,1.61945,0.0629027
943.319,1.66908,1.60635,0.062732
944.654,1.6663,1.60374,0.0625619
945.988,1.68348,1.62109,0.0623926
947.322,1.66043,1.59821,0.0622239
948.656,1.66715,1.60509,0.0620559
949.991,1.67018,1.60829,0.0618885
951.325,1.65924,1.59751,0.0617218
952.659,1.66577,1.60422,0.0615558
953.993,1.66285,1.60146,0.0613904
955.328,1.65629,1.59506,0.0612257
956.662,1.64923,1.58816,0.0610617
957.996,1.65403,1.59313,0.0608983
959.33,1.65426,1.59352,0.0607355
960.665,1.64767,1.58709,0.0605734
961.999,1.65355,1.59314,0.0604119
963.333,1.65149,1.59124,0.0602511
964.667,1.65683,1.59674,0.0600909
966.002,1.64122,1.58129,0.0599313
967.336,1.64035,1.58058,0.0597724
968.67,1.63971,1.5801,0.0596141
970.004,1.6302,1.57075,0.0594564
971.339,1.63489,1.57559,0.0592993
972.673,1.63589,1.57675,0.0591428
974.007,1.64106,1.58208,0.0589869
975.341,1.64519,1.58636,0.0588317
976.676,1.64075,1.58207,0.058677
978.01,1.63729,1.57877,0.058523
979.344,1.63808,1.57972,0.0583695
980.678,1.6455,1.58728,0.0582167
982.013,1.6386,1.58054,0.0580644
983.347,1.63549,1.57757,0.0579127
984.681,1.63106,1.5733,0.0577616
986.015,1.63715,1.57953,0.0576111
987.35,1.6285,1.57104,0.0574612
988.684,1.63185,1.57454,0.0573119
990.018,1.63198,1.57481,0.0571631
991.352,1.6236,1.56659,0.0570149
992.687,1.62591,1.56904,0.0568673
994.021,1.62392,1.5672,0.0567202
995.355,1.6132,1.55662,0.0565737
996.69,1.63657,1.58014,0.0564277
998.024,1.62698,1.5707,0.0562823
999.358,1.61912,1.56298,0.0561375
1000.69,1.62003,1.56403,0.0559932
1002.03,1.61571,1.55986,0.0558495
1003.36,1.62147,1.56576,0.0557063
1004.7,1.62529,1.56972,0.0555636
1006.03,1.62075,1.56533,0.0554215
