E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
1954.69,9.94328,9.86721,0.0760644
1956.02,9.94332,9.86736,0.0759615
1957.35,9.94325,9.86739,0.0758588
1958.69,9.94317,9.86741,0.0757563
1960.02,9.94314,9.86748,0.075654
1961.36,9.94312,9.86757,0.0755519
1962.69,9.94314,9.86769,0.07545
1964.03,9.94313,9.86778,0.0753483
1965.36,9.94307,9.86783,0.0752468
1966.69,9.94309,9.86795,0.0751456
1968.03,9.94302,9.86797,0.0750445
1969.36,9.94307,9.86813,0.0749436
1970.7,9.94305,9.8682,0.074843
1972.03,9.94304,9.86829,0.0747425
1973.37,9.94298,9.86833,0.0746422
1974.7,9.94293,9.86839,0.0745422
1976.03,9.94296,9.86852,0.0744423
1977.37,9.94293,9.86858,0.0743427
1978.7,9.94293,9.86869,0.0742432
1980.04,9.94294,9.86879,0.0741439
1981.37,9.9429,9.86886,0.0740449
1982.7,9.94289,9.86894,0.073946
1984.04,9.94283,9.86898,0.0738474
1985.37,9.94283,9.86909,0.0737489
1986.71,9.94278,9.86913,0.0736506
1988.04,9.94286,9.86931,0.0735525
1989.38,9.94279,9.86933,0.0734547
1990.71,9.94271,9.86935,0.073357
1992.04,9.94276,9.8695,0.0732595
1993.38,9.94272,9.86956,0.0731622
1994.71,9.9427,9.86963,0.0730651
1996.05,9.94271,9.86974,0.0729682
1997.38,9.94271,9.86984,0.0728714
1998.72,9.94272,9.86994,0.0727749
2000.05,9.94264,9.86997,0.0726786
2001.38,9.94269,9.87011,0.0725824
2002.72,9.94263,9.87015,0.0724865
2004.05,9.94258,9.87019,0.0723907
2005.39,9.94257,9.87027,0.0722951
2006.72,9.94263,9.87043,0.0721997
2008.06,9.94252,9.87041,0.0721045
2009.39,9.9426,9.87059,0.0720095
2010.72,9.94255,9.87064,0.0719147
2012.06,9.94249,9.87067,0.0718201
2013.39,9.94252,9.8708,0.0717256
2014.73,9.9425,9.87087,0.0716313
2016.06,9.94254,9.87101,0.0715373
2017.4,9.94249,9.87105,0.0714434
2018.73,9.94251,9.87116,0.0713496
2020.06,9.94252,9.87127,0.0712561
2021.4,9.94246,9.8713,0.0711628
2022.73,9.9425,9.87143,0.0710696
2024.07,9.94249,9.87151,0.0709766
2025.4,9.94247,9.87158,0.0708838
2026.74,9.94244,9.87165,0.0707912
2028.07,9.94245,9.87175,0.0706988
2029.4,9.94244,9.87183,0.0706065
2030.74,9.94245,9.87193,0.0705144
2032.07,9.94244,9.87201,0.0704225
2033.41,9.94242,9.87209,0.0703308
2034.74,9.94241,9.87217,0.0702393
2036.08,9.94242,9.87227,0.0701479
2037.41,9.94249,9.87243,0.0700567
2038.74,9.94242,9.87246,0.0699657
2040.08,9.94246,9.87258,0.0698749
2041.41,9.94243,9.87264,0.0697843
2042.75,9.94247,9.87277,0.0696938
2044.08,9.94254,9.87294,0.0696035
2045.42,9.94249,9.87298,0.0695134
2046.75,9.94249,9.87307,0.0694234
2048.08,9.94241,9.87307,0.0693336
2049.42,9.94243,9.87318,0.069244
2050.75,9.94251,9.87335,0.0691546
2052.09,9.94249,9.87343,0.0690653
2053.42,9.94246,9.87348,0.0689762
2054.75,9.94244,9.87355,0.0688873
2056.09,9.94245,9.87365,0.0687986
2057.42,9.94242,9.87371,0.06871
2058.76,9.94243,9.87381,0.0686216
2060.09,9.94242,9.87389,0.0685334
2061.43,9.94248,9.87403,0.0684453
2062.76,9.94239,9.87403,0.0683574
2064.09,9.94245,9.87418,0.0682697
2065.43,9.94247,9.87428,0.0681822
2066.76,9.94254,9.87445,0.0680948
2068.1,9.94244,9.87443,0.0680075
2069.43,9.94241,9.87449,0.0679205
2070.77,9.94247,9.87463,0.0678336
2072.1,9.94257,9.87482,0.0677469
2073.43,9.94254,9.87488,0.0676603
2074.77,9.94253,9.87495,0.0675739
2076.1,9.94248,9.87499,0.0674877
2077.44,9.94253,9.87512,0.0674017
2078.77,9.94253,9.87521,0.0673158
2080.11,9.94248,9.87525,0.06723
2081.44,9.94246,9.87532,0.0671445
2082.77,9.94242,9.87536,0.0670591
2084.11,9.94252,9.87555,0.0669738
2085.44,9.9425,9.87561,0.0668887
2086.78,9.94248,9.87567,0.0668038
2088.11,9.94252,9.8758,0.0667191
2089.45,9.94257,9.87593,0.0666345
2090.78,9.9425,9.87595,0.06655
2092.11,9.94251,9.87604,0.0664658
2093.45,9.94259,9.87621,0.0663816
2094.78,9.94262,9.87632,0.0662977
2096.12,9.94257,9.87636,0.0662139
