Time (ns),Water after lsq fit to Water
0.0494460,0.8008614
0.0495280,0.8349772
0.0496100,0.8356105
0.0496920,0.8363766
0.0497740,0.8659501
0.0498560,0.7978103
0.0499380,0.9021828
0.0500200,0.8372012
0.0501020,0.8372744
0.0501840,0.8376415
0.0502660,0.8376398
0.0503480,0.8678615
0.0504300,0.9575883
0.0505120,0.8310924
0.0505940,0.8314239
0.0506760,0.8974262
0.0507580,0.8634567
0.0508400,0.8637388
0.0509220,0.8644430
0.0510040,0.8314297
0.0510860,0.8320031
0.0511680,0.8974653
0.0512500,0.8985600
0.0513320,0.8963276
0.0514140,0.8635579
0.0514960,0.8658781
0.0515780,0.9299191
0.0516600,0.7698781
0.0517420,0.7694473
0.0518240,0.8056312
0.0519060,0.8396862
0.0519880,0.8392686
0.0520700,0.8388221
0.0521520,0.8034469
0.0522340,0.9303589
0.0523160,0.8666016
0.0523980,0.8660696
0.0524800,0.8326933
0.0525620,0.7961968
0.0526440,0.9281498
0.0527260,0.8972210
0.0528080,0.8972426
0.0528900,0.8971743
0.0529720,0.8658197
0.0530540,0.8349895
0.0531360,0.8000359
0.0532180,0.8327684
0.0533000,0.9254200
0.0533820,0.9269530
0.0534640,0.8965539
0.0535460,0.8657249
0.0536280,0.8638768
0.0537100,0.9554879
0.0537920,0.9557326
0.0538740,1.0423426
0.0539560,0.9292769
0.0540380,0.8647250
0.0541200,0.8344111
0.0542020,0.9283760
0.0542840,0.9296902
0.0543660,0.8991525
0.0544480,0.9293357
0.0545300,0.9595152
0.0546120,0.9005863
0.0546940,0.9009056
0.0547760,0.9916969
0.0548580,0.9358342
0.0549400,0.8658700
0.0550220,1.0154399
0.0551040,0.9289891
0.0551860,0.9299046
0.0552680,0.9302816
0.0553500,1.0165463
0.0554320,0.8683083
0.0555140,0.8986154
0.0555960,0.8995340
0.0556780,0.9014782
0.0557600,0.8675551
0.0558420,0.9599118
0.0559240,0.9589105
0.0560060,0.9897934
0.0560880,0.9903154
0.0561700,0.9915095
0.0562520,0.9305393
0.0563340,0.9876792
0.0564160,0.9878819
0.0564980,0.9887288
0.0565800,0.9310429
0.0566620,0.9002073
0.0567440,0.9283958
0.0568260,0.9872214
0.0569080,0.9284540
0.0569900,0.9293252
0.0570720,0.9886879
0.0571540,0.8355103
0.0572360,0.9273983
0.0573180,0.9556315
0.0574000,0.9846719
0.0574820,0.9846425
0.0575640,0.9546784
0.0576460,1.0144140
0.0577280,1.0154780
0.0578100,1.0417116
0.0578920,1.0429729
0.0579740,0.9892655
0.0580560,0.9598104
0.0581380,0.8665306
0.0582200,0.8942091
0.0583020,0.9257000
0.0583840,0.9246303
0.0584660,1.0411227
0.0585480,1.0126388
0.0586300,0.9840057
