Time (ns),System after lsq fit to System
0.0017700,0.3928864
0.0017750,0.3929427
0.0017800,0.3930011
0.0017850,0.3930610
0.0017900,0.3931191
0.0017950,0.3931707
0.0018000,0.3734742
0.0018050,0.3734855
0.0018100,0.3734982
0.0018150,0.3735131
0.0018200,0.3735303
0.0018250,0.3735491
0.0018300,0.3735694
0.0018350,0.3735927
0.0018400,0.3736194
0.0018450,0.3736478
0.0018500,0.3736751
0.0018550,0.3736999
0.0018600,0.3737241
0.0018650,0.3737503
0.0018700,0.3737803
0.0018750,0.3738139
0.0018800,0.3738493
0.0018850,0.3738849
0.0018900,0.3739196
0.0018950,0.3739513
0.0019000,0.4047434
0.0019050,0.4047376
0.0019100,0.4047339
0.0019150,0.4047375
0.0019200,0.4047533
0.0019250,0.4047829
0.0019300,0.4048237
0.0019350,0.4048693
0.0019400,0.4049121
0.0019450,0.4049458
0.0019500,0.4049701
0.0019550,0.4049899
0.0019600,0.4050116
0.0019650,0.4050399
0.0019700,0.4050770
0.0019750,0.4051216
0.0019800,0.4051696
0.0019850,0.4052153
0.0019900,0.4052554
0.0019950,0.4052894
0.0020000,0.4147926
0.0020050,0.4148088
0.0020100,0.4148357
0.0020150,0.4148738
0.0020200,0.4149207
0.0020250,0.4149721
0.0020300,0.4150234
0.0020350,0.4150718
0.0020400,0.4151154
0.0020450,0.4151542
0.0020500,0.4151894
0.0020550,0.4152230
0.0020600,0.4152568
0.0020650,0.4152905
0.0020700,0.4153228
0.0020750,0.4153519
0.0020800,0.4153774
0.0020850,0.4154002
0.0020900,0.4154207
0.0020950,0.4154389
0.0021000,0.4147148
0.0021050,0.4147361
0.0021100,0.4147687
0.0021150,0.4148108
0.0021200,0.4148595
0.0021250,0.4149116
0.0021300,0.4149652
0.0021350,0.4150186
0.0021400,0.4150708
0.0021450,0.4151208
0.0021500,0.4151680
0.0021550,0.4152124
0.0021600,0.4152523
0.0021650,0.4152846
0.0021700,0.4153071
0.0021750,0.4153194
0.0021800,0.4153235
0.0021850,0.4153243
0.0021900,0.4153287
0.0021950,0.4153416
0.0022000,0.3601806
0.0022050,0.3601794
0.0022100,0.3601848
0.0022150,0.3601977
0.0022200,0.3602187
0.0022250,0.3602465
0.0022300,0.3602796
0.0022350,0.3603155
0.0022400,0.3603521
0.0022450,0.3603886
0.0022500,0.3604244
0.0022550,0.3604594
0.0022600,0.3604909
0.0022650,0.3605161
0.0022700,0.3605351
0.0022750,0.3605500
0.0022800,0.3605630
0.0022850,0.3605750
0.0022900,0.3605856
0.0022950,0.3605938
0.0023000,0.4069734
0.0023050,0.4069693
0.0023100,0.4069807
0.0023150,0.4070098
0.0023200,0.4070521
0.0023250,0.4071006
0.0023300,0.4071514
0.0023350,0.4072030
0.0023400,0.4072569
0.0023450,0.4073144
0.0023500,0.4073748
0.0023550,0.4074375
0.0023600,0.4075008
0.0023650,0.4075626
0.0023700,0.4076195
0.0023750,0.4076673
0.0023800,0.4077040
0.0023850,0.4077322
0.0023900,0.4077579
0.0023950,0.4077828
0.0024000,0.4140140
0.0024050,0.4140239
0.0024100,0.4140356
0.0024150,0.4140450
0.0024200,0.4140511
0.0024250,0.4140546
0.0024300,0.4140590
0.0024350,0.4140678
0.0024400,0.4140829
0.0024450,0.4141040
0.0024500,0.4141297
0.0024550,0.4141585
0.0024600,0.4141883
0.0024650,0.4142184
0.0024700,0.4142509
0.0024750,0.4142902
0.0024800,0.4143393
0.0024850,0.4143977
0.0024900,0.4144607
0.0024950,0.4145210
0.0025000,0.3990303
0.0025050,0.3990271
0.0025100,0.3990283
0.0025150,0.3990392
0.0025200,0.3990593
0.0025250,0.3990831
0.0025300,0.3991028
0.0025350,0.3991133
0.0025400,0.3991149
0.0025450,0.3991116
0.0025500,0.3991105
0.0025550,0.3991184
0.0025600,0.3991387
0.0025650,0.3991706
0.0025700,0.3992112
0.0025750,0.3992586
0.0025800,0.3993112
