Time (ns),non-Water after lsq fit to non-Water
0.0036300,0.0827531
0.0036350,0.0827498
0.0036400,0.0827511
0.0036450,0.0827572
0.0036500,0.0827683
0.0036550,0.0827835
0.0036600,0.0828016
0.0036650,0.0828212
0.0036700,0.0828417
0.0036750,0.0828625
0.0036800,0.0828828
0.0036850,0.0829024
0.0036900,0.0829208
0.0036950,0.0829375
0.0037000,0.0830222
0.0037050,0.0830315
0.0037100,0.0830430
0.0037150,0.0830567
0.0037200,0.0830728
0.0037250,0.0830912
0.0037300,0.0831116
0.0037350,0.0831331
0.0037400,0.0831549
0.0037450,0.0831759
0.0037500,0.0831953
0.0037550,0.0832127
0.0037600,0.0832280
0.0037650,0.0832417
0.0037700,0.0832542
0.0037750,0.0832661
0.0037800,0.0832777
0.0037850,0.0832897
0.0037900,0.0833022
0.0037950,0.0833154
0.0038000,0.0243147
0.0038050,0.0243124
0.0038100,0.0243108
0.0038150,0.0243093
0.0038200,0.0243079
0.0038250,0.0243052
0.0038300,0.0242994
0.0038350,0.0242908
0.0038400,0.0242811
0.0038450,0.0242701
0.0038500,0.0242570
0.0038550,0.0242412
0.0038600,0.0242240
0.0038650,0.0242071
0.0038700,0.0241901
0.0038750,0.0241728
0.0038800,0.0241564
0.0038850,0.0241422
0.0038900,0.0241289
0.0038950,0.0241144
0.0039000,0.0831878
0.0039050,0.0831894
0.0039100,0.0831937
0.0039150,0.0831990
0.0039200,0.0832033
0.0039250,0.0832056
0.0039300,0.0832049
0.0039350,0.0832009
0.0039400,0.0831938
0.0039450,0.0831845
0.0039500,0.0831737
0.0039550,0.0831624
0.0039600,0.0831517
0.0039650,0.0831427
0.0039700,0.0831366
0.0039750,0.0831344
0.0039800,0.0831364
0.0039850,0.0831425
0.0039900,0.0831525
0.0039950,0.0831658
0.0040000,0.0964333
0.0040050,0.0964506
0.0040100,0.0964695
0.0040150,0.0964870
0.0040200,0.0965018
0.0040250,0.0965148
0.0040300,0.0965290
0.0040350,0.0965466
0.0040400,0.0965669
0.0040450,0.0965872
0.0040500,0.0966040
0.0040550,0.0966148
0.0040600,0.0966187
0.0040650,0.0966166
0.0040700,0.0966117
0.0040750,0.0966085
0.0040800,0.0966101
0.0040850,0.0966175
0.0040900,0.0966296
0.0040950,0.0966447
0.0041000,0.0609551
0.0041050,0.0609651
0.0041100,0.0609744
0.0041150,0.0609833
0.0041200,0.0609925
0.0041250,0.0610031
0.0041300,0.0610157
0.0041350,0.0610301
0.0041400,0.0610464
0.0041450,0.0610647
0.0041500,0.0610845
0.0041550,0.0611045
0.0041600,0.0611242
0.0041650,0.0611428
0.0041700,0.0611596
0.0041750,0.0611737
0.0041800,0.0611847
0.0041850,0.0611930
0.0041900,0.0611994
0.0041950,0.0612049
0.0042000,0.0613570
0.0042050,0.0613734
0.0042100,0.0613975
0.0042150,0.0614250
0.0042200,0.0614499
0.0042250,0.0614679
0.0042300,0.0614787
0.0042350,0.0614861
0.0042400,0.0614951
0.0042450,0.0615104
0.0042500,0.0615342
0.0042550,0.0615649
0.0042600,0.0615967
0.0042650,0.0616223
0.0042700,0.0616359
0.0042750,0.0616360
0.0042800,0.0616267
0.0042850,0.0616151
0.0042900,0.0616084
0.0042950,0.0616102
0.0043000,0.1114937
0.0043050,0.1115103
0.0043100,0.1115267
0.0043150,0.1115413
0.0043200,0.1115528
0.0043250,0.1115609
0.0043300,0.1115672
0.0043350,0.1115737
0.0043400,0.1115820
0.0043450,0.1115927
0.0043500,0.1116050
0.0043550,0.1116176
0.0043600,0.1116284
0.0043650,0.1116357
0.0043700,0.1116388
0.0043750,0.1116383
0.0043800,0.1116358
0.0043850,0.1116327
0.0043900,0.1116295
0.0043950,0.1116264
0.0044000,0.0963386
0.0044050,0.0963264
0.0044100,0.0963147
0.0044150,0.0963051
0.0044200,0.0962994
0.0044250,0.0962986
0.0044300,0.0963032
0.0044350,0.0963123
0.0044400,0.0963246
0.0044450,0.0963380
0.0044500,0.0963499
0.0044550,0.0963578
0.0044600,0.0963610
0.0044650,0.0963609
0.0044700,0.0963601
0.0044750,0.0963610
0.0044800,0.0963659
0.0044850,0.0963765
0.0044900,0.0963930
0.0044950,0.0964141
0.0045000,0.0614870
0.0045050,0.0614916
0.0045100,0.0615065
0.0045150,0.0615258
0.0045200,0.0615411
0.0045250,0.0615450
0.0045300,0.0615347
0.0045350,0.0615147
0.0045400,0.0614942
0.0045450,0.0614815
0.0045500,0.0614805
0.0045550,0.0614883
0.0045600,0.0614979
0.0045650,0.0615015
0.0045700,0.0614934
0.0045750,0.0614726
0.0045800,0.0614434
0.0045850,0.0614136
0.0045900,0.0613906
0.0045950,0.0613794
0.0046000,0.0613802
0.0046050,0.0613882
0.0046100,0.0613961
0.0046150,0.0613974
0.0046200,0.0613895
0.0046250,0.0613755
0.0046300,0.0613623
0.0046350,0.0613568
0.0046400,0.0613627
0.0046450,0.0613780
0.0046500,0.0613974
0.0046550,0.0614145
0.0046600,0.0614240
0.0046650,0.0614220
0.0046700,0.0614087
