,Energy Transfer (meV),f_surf,f_core,1/N_surf,1/N_core,1/N_total
2697,111.58944895549226,0.3625015694203481,0.6374610936287909,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
2698,111.63080901811476,0.3622649898427867,0.6376975451564183,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
2699,111.67216908073726,0.36203168404788444,0.637930699008576,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
2700,111.71352914335974,0.3618012889748808,0.6381609187968142,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
2701,111.75488920598227,0.361573512026985,0.6383884977466724,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
2702,111.79624926860474,0.36134813396385945,0.6386136557921673,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
2703,111.83760933122724,0.36112501061576985,0.6388365378476504,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
2704,111.87896939384974,0.3609040733836971,0.6390572132932696,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
2705,111.92032945647225,0.3606853285010692,0.639275676698534,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
2706,111.96168951909472,0.36046885504690857,0.6394918497946874,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
2707,112.00304958171722,0.36025480171598934,0.6397055846902375,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
2708,112.04440964433972,0.3600433823704712,0.6399166683059534,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
2709,112.0857697069622,0.35983487041780066,0.6401248279844927,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
2710,112.12712976958473,0.359629592082756,0.6403297382072579,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
2711,112.1684898322072,0.35942791866542606,0.6405310283266292,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
2712,112.2098498948297,0.3592302579022552,0.6407282911970277,0.00011559357299734135,5.90772139185916e-05,3.90960982093987e-05
