Energy Transfer (meV),Count,Error
59.4275,0.91039,0.00823
60.3521,0.91756,0.0084
61.2971,0.9319,0.00828
62.2631,0.93907,0.00838
63.2509,0.93907,0.0085
64.261,0.93907,0.00867
65.2941,0.94623,0.00859
66.351,0.9534,0.00873
67.4323,0.9534,0.00874
68.5388,0.9534,0.00873
69.6714,0.94623,0.00874
70.8308,0.94623,0.0089
72.0179,0.9319,0.00888
73.2336,0.9319,0.00902
74.4788,0.92473,0.00912
75.7544,0.92473,0.00915
77.0616,0.91756,0.0091
78.4012,0.91039,0.00922
79.7745,0.89606,0.00924
81.1824,0.88889,0.00928
82.6263,0.88172,0.00927
84.1074,0.86738,0.00952
85.6268,0.85304,0.00949
87.1861,0.83871,0.0096
88.7866,0.83154,0.00976
90.4296,0.82437,0.00982
92.1168,0.80287,0.00997
93.8499,0.7957,0.00995
95.6303,0.78136,0.0101
97.46,0.77419,0.01045
99.3406,0.75985,0.01017
101.274,0.75269,0.01036
103.263,0.73835,0.01052
105.308,0.71684,0.01084
107.413,0.70521,0.01087
109.579,0.69724,0.0111
111.81,0.68445,0.01131
114.106,0.6662,0.01183
116.472,0.64866,0.01183
118.91,0.64152,0.0123
121.423,0.63424,0.01239
124.014,0.62177,0.01311
126.686,0.60636,0.01358
129.443,0.59422,0.01414
132.288,0.59779,0.01424
135.226,0.59532,0.01534
138.26,0.59189,0.01518
141.394,0.58616,0.01602
144.633,0.58951,0.0172
147.982,0.59535,0.018
