Fe3O4 nanoparticle r=4.000000

25578 atoms

3 atom types

0 101.870750 xlo xhi
0 99.858829 ylo yhi
0 101.870750 zlo zhi

Masses

1  55.845000
2  55.845000
3  15.999400

Atoms

242     1 1  1.530   51.9413   58.3264   68.7353
243     1 1  1.530   51.9413   58.3264   77.1323
244     1 1  1.530   51.9413   58.3264   85.5293
245     1 1  1.530   51.9413   66.7234   18.3533
246     1 1  1.530   51.9413   66.7234   26.7503
247     1 1  1.530   51.9413   66.7234   35.1473
248     1 1  1.530   51.9413   66.7234   43.5443
249     1 1  1.530   51.9413   66.7234   51.9413
250     1 1  1.530   51.9413   66.7234   60.3383
251     1 1  1.530   51.9413   66.7234   68.7353
252     1 1  1.530   51.9413   66.7234   77.1323
253     1 1  1.530   51.9413   66.7234   85.5293
254     1 1  1.530   51.9413   75.1204   26.7503
255     1 1  1.530   51.9413   75.1204   35.1473
256     1 1  1.530   51.9413   75.1204   43.5443
257     1 1  1.530   51.9413   75.1204   51.9413
258     1 1  1.530   51.9413   75.1204   60.3383
259     1 1  1.530   51.9413   75.1204   68.7353
260     1 1  1.530   51.9413   75.1204   77.1323
261     1 1  1.530   51.9413   83.5174   35.1473
262     1 1  1.530   51.9413   83.5174   43.5443
263     1 1  1.530   51.9413   83.5174   51.9413
264     1 1  1.530   51.9413   83.5174   60.3383
265     1 1  1.530   51.9413   83.5174   68.7353
266     1 1  1.530   60.3383   16.3414   35.1473
267     1 1  1.530   60.3383   16.3414   43.5443
268     1 1  1.530   60.3383   16.3414   51.9413
269     1 1  1.530   60.3383   16.3414   60.3383
270     1 1  1.530   60.3383   16.3414   68.7353
271     1 1  1.530   60.3383   24.7384   26.7503
272     1 1  1.530   60.3383   24.7384   35.1473
273     1 1  1.530   60.3383   24.7384   43.5443
274     1 1  1.530   60.3383   24.7384   51.9413
275     1 1  1.530   60.3383   24.7384   60.3383
276     1 1  1.530   60.3383   24.7384   68.7353
277     1 1  1.530   60.3383   24.7384   77.1323
278     1 1  1.530   60.3383   33.1354   18.3533
279     1 1  1.530   60.3383   33.1354   26.7503
280     1 1  1.530   60.3383   33.1354   35.1473
281     1 1  1.530   60.3383   33.1354   43.5443
282     1 1  1.530   60.3383   33.1354   51.9413
283     1 1  1.530   60.3383   33.1354   60.3383
284     1 1  1.530   60.3383   33.1354   68.7353
285     1 1  1.530   60.3383   33.1354   77.1323
286     1 1  1.530   60.3383   33.1354   85.5293
287     1 1  1.530   60.3383   41.5324   18.3533
288     1 1  1.530   60.3383   41.5324   26.7503
289     1 1  1.530   60.3383   41.5324   35.1473
290     1 1  1.530   60.3383   41.5324   43.5443
291     1 1  1.530   60.3383   41.5324   51.9413
292     1 1  1.530   60.3383   41.5324   60.3383
293     1 1  1.530   60.3383   41.5324   68.7353
294     1 1  1.530   60.3383   41.5324   77.1323
295     1 1  1.530   60.3383   41.5324   85.5293
296     1 1  1.530   60.3383   49.9294   18.3533
