Time (ns),Water after lsq fit to Water
0.0025350,0.4281536
0.0025400,0.4281868
0.0025450,0.4282145
0.0025500,0.4282376
0.0025550,0.4282582
0.0025600,0.4282787
0.0025650,0.4283012
0.0025700,0.4283298
0.0025750,0.4283678
0.0025800,0.4284182
0.0025850,0.4284820
0.0025900,0.4285580
0.0025950,0.4286420
0.0026000,0.4913796
0.0026050,0.4914778
0.0026100,0.4915815
0.0026150,0.4916837
0.0026200,0.4917786
0.0026250,0.4918626
0.0026300,0.4919310
0.0026350,0.4919793
0.0026400,0.4920063
0.0026450,0.4920119
0.0026500,0.4919977
0.0026550,0.4919663
0.0026600,0.4919223
0.0026650,0.4918687
0.0026700,0.4918068
0.0026750,0.4917375
0.0026800,0.4916614
0.0026850,0.4915815
0.0026900,0.4915016
0.0026950,0.4914245
0.0027000,0.4278630
0.0027050,0.4277719
0.0027100,0.4276902
0.0027150,0.4276159
0.0027200,0.4275498
0.0027250,0.4274948
0.0027300,0.4274526
0.0027350,0.4274256
0.0027400,0.4274146
0.0027450,0.4274193
0.0027500,0.4274379
0.0027550,0.4274687
0.0027600,0.4275106
0.0027650,0.4275626
0.0027700,0.4276205
0.0027750,0.4276791
0.0027800,0.4277344
0.0027850,0.4277873
0.0027900,0.4278362
0.0027950,0.4278797
0.0028000,0.4901127
0.0028050,0.4901499
0.0028100,0.4901856
0.0028150,0.4902170
0.0028200,0.4902424
0.0028250,0.4902619
0.0028300,0.4902758
0.0028350,0.4902861
0.0028400,0.4902958
0.0028450,0.4903087
0.0028500,0.4903251
0.0028550,0.4903455
0.0028600,0.4903730
0.0028650,0.4904113
0.0028700,0.4904628
0.0028750,0.4905292
0.0028800,0.4906110
0.0028850,0.4907070
0.0028900,0.4908099
0.0028950,0.4909143
0.0029000,0.3540889
0.0029050,0.3541303
0.0029100,0.3541764
0.0029150,0.3542271
0.0029200,0.3542817
0.0029250,0.3543381
0.0029300,0.3543926
0.0029350,0.3544429
0.0029400,0.3544870
0.0029450,0.3545225
0.0029500,0.3545455
0.0029550,0.3545567
0.0029600,0.3545627
0.0029650,0.3545703
0.0029700,0.3545780
0.0029750,0.3545813
0.0029800,0.3545803
0.0029850,0.3545779
0.0029900,0.3545765
0.0029950,0.3545769
