Time (ps),Radius (nm)
1221,1.56507
1222,1.56393
1223,1.56516
1224,1.56498
1225,1.56434
1226,1.56582
1227,1.56429
1228,1.56497
1229,1.56516
1230,1.56399
1231,1.56548
1232,1.56444
1233,1.5648
1234,1.56487
1235,1.56439
1236,1.56537
1237,1.56466
1238,1.56532
1239,1.56517
1240,1.56411
1241,1.56541
1242,1.56451
1243,1.56516
1244,1.56495
1245,1.56452
1246,1.56504
1247,1.56504
1248,1.56462
1249,1.56465
1250,1.56464
1251,1.56534
1252,1.56444
1253,1.56483
1254,1.56511
1255,1.56422
1256,1.56549
1257,1.56455
1258,1.5648
1259,1.56502
1260,1.56464
1261,1.56526
1262,1.5647
1263,1.56492
1264,1.56539
1265,1.56428
1266,1.56534
1267,1.565
1268,1.5641
1269,1.56568
1270,1.56453
1271,1.56464
1272,1.56542
1273,1.56454
1274,1.56497
1275,1.56511
1276,1.56447
1277,1.56496
1278,1.56449
1279,1.5651
1280,1.56476
1281,1.56469
1282,1.56468
1283,1.56473
1284,1.56497
1285,1.56489
1286,1.56531
1287,1.56506
1288,1.56459
1289,1.56534
1290,1.56457
1291,1.56528
1292,1.56423
1293,1.5656
1294,1.56477
1295,1.56446
1296,1.56577
1297,1.56461
1298,1.56455
1299,1.5657
1300,1.56424
1301,1.56489
1302,1.56497
1303,1.5647
1304,1.56488
1305,1.56444
1306,1.56471
1307,1.56523
1308,1.56469
1309,1.5649
1310,1.56476
1311,1.56501
1312,1.56462
1313,1.56505
1314,1.56485
1315,1.56474
1316,1.56537
1317,1.5647
1318,1.56521
1319,1.56482
1320,1.56421
1321,1.56504
1322,1.56492
1323,1.56451
1324,1.56501
1325,1.5647
1326,1.56457
1327,1.56486
1328,1.56495
1329,1.56491
1330,1.5652
1331,1.5644
1332,1.56475
1333,1.56532
1334,1.56409
1335,1.56537
1336,1.56488
1337,1.56453
1338,1.5651
1339,1.56449
1340,1.56504
1341,1.56532
1342,1.56457
1343,1.56519
1344,1.56429
1345,1.56489
1346,1.56479
1347,1.56484
1348,1.56494
1349,1.56493
1350,1.5648
1351,1.56501
1352,1.56459
1353,1.56444
1354,1.56535
1355,1.5651
1356,1.56473
1357,1.56479
1358,1.56526
1359,1.56453
1360,1.5656
1361,1.56496
1362,1.56408
1363,1.56541
1364,1.56471
1365,1.56493
1366,1.5649
1367,1.5646
1368,1.5651
1369,1.56461
1370,1.56479
1371,1.56535
1372,1.56391
1373,1.56524
1374,1.56519
1375,1.56385
1376,1.56542
1377,1.56472
1378,1.56474
1379,1.56532
1380,1.56456
1381,1.56457
1382,1.56546
1383,1.56435
1384,1.56512
1385,1.56498
1386,1.56505
1387,1.56492
1388,1.56461
