E (cm\S-1\N),DoS(v),DoS(v)[Solid],DoS(v)[Diff]
150.022,306.925,295.119,11.8063
150.185,309.45,297.668,11.7818
150.348,311.467,299.71,11.7575
150.511,310.987,299.254,11.7332
150.673,313.153,301.444,11.7089
150.836,303.464,291.779,11.6848
150.999,308.434,296.773,11.6607
151.161,312.75,301.113,11.6367
151.324,309.977,298.364,11.6128
151.487,311.085,299.497,11.5889
151.65,311.642,300.077,11.5651
151.812,316.293,304.751,11.5414
151.975,312.532,301.014,11.5178
152.138,313.566,302.072,11.4942
152.3,317.622,306.152,11.4707
152.463,316.933,305.485,11.4472
152.626,319.885,308.461,11.4239
152.789,311.469,300.068,11.4006
152.951,321.933,310.556,11.3774
153.114,320.009,308.655,11.3542
153.277,323.455,312.124,11.3311
153.439,329.369,318.061,11.3081
153.602,324.801,313.516,11.2852
153.765,327.102,315.84,11.2623
153.928,326.092,314.853,11.2395
154.09,324.19,312.973,11.2168
154.253,325.115,313.921,11.1941
154.416,334.418,323.247,11.1715
154.578,332.903,321.754,11.149
154.741,331.88,320.754,11.1265
154.904,328.495,317.391,11.1041
155.067,341.811,330.73,11.0818
155.229,340.111,329.051,11.0595
155.392,338.09,327.053,11.0373
155.555,347.658,336.643,11.0152
155.717,343.253,332.26,10.9931
155.88,345.359,334.387,10.9711
156.043,348.147,337.198,10.9492
156.206,340.782,329.855,10.9273
156.368,339.772,328.867,10.9055
156.531,334.528,323.645,10.8837
156.694,337.53,326.668,10.862
156.856,344.643,333.803,10.8404
157.019,341.728,330.909,10.8189
157.182,344.761,333.963,10.7974
157.345,346.581,335.805,10.776
157.507,341.453,330.699,10.7546
157.67,344.476,333.743,10.7333
157.833,336.37,325.658,10.712
157.995,338.487,327.796,10.6909
158.158,351.826,341.156,10.6698
158.321,344.786,334.137,10.6487
158.484,342.4,331.772,10.6277
158.646,341.709,331.102,10.6068
158.809,352.242,341.656,10.5859
158.972,351.793,341.228,10.5651
159.134,339.878,329.334,10.5443
159.297,343.386,332.862,10.5237
159.46,345.309,334.806,10.503
159.623,342.216,331.734,10.4825
159.785,353.375,342.914,10.4619
159.948,344.826,334.385,10.4415
160.111,337.738,327.317,10.4211
160.273,331.865,321.465,10.4008
160.436,329.658,319.278,10.3805
160.599,332.491,322.131,10.3603
160.762,328.216,317.876,10.3401
160.924,330.14,319.82,10.32
161.087,328.382,318.082,10.3
161.25,325.685,315.405,10.28
161.412,330.812,320.552,10.2601
161.575,326.34,316.1,10.2402
161.738,333.663,323.443,10.2204
161.901,322.585,312.384,10.2006
162.063,323.238,313.058,10.1809
162.226,321.598,311.436,10.1613
162.389,318.017,307.875,10.1417
162.551,326.649,316.527,10.1222
162.714,316.286,306.184,10.1027
162.877,317.63,307.546,10.0833
163.04,313.246,303.182,10.0639
163.202,310.666,300.621,10.0446
163.365,314.501,304.475,10.0253
163.528,310.831,300.825,10.0061
163.69,315.051,305.064,9.987
163.853,308.369,298.401,9.96791
164.016,312.262,302.313,9.94887
164.179,308.817,298.887,9.92988
164.341,309.281,299.37,9.91095
164.504,311.963,302.071,9.89208
164.667,306.903,297.03,9.87325
164.829,306.161,296.306,9.85448
164.992,309.944,300.108,9.83576
165.155,312.419,302.602,9.8171
165.318,304.867,295.068,9.79848
165.48,307.048,297.268,9.77992
165.643,311.201,301.44,9.76141
165.806,308.145,298.402,9.74296
165.968,307.878,298.154,9.72455
166.131,308.358,298.652,9.7062
166.294,307.379,297.691,9.6879
166.457,306.512,296.842,9.66964
166.619,304.512,294.861,9.65144
166.782,304.808,295.175,9.63329
166.945,306.347,296.732,9.61519
167.107,304.285,294.688,9.59714
167.27,304.971,295.392,9.57915
167.433,299.636,290.075,9.5612
167.596,298.799,289.256,9.5433
167.758,300.828,291.303,9.52545
167.921,298.479,288.971,9.50765
168.084,300.52,291.03,9.4899
168.246,298.273,288.8,9.47219
168.409,300.824,291.37,9.45454
168.572,300.919,291.483,9.43694
168.735,300.719,291.3,9.41938
168.897,299.292,289.89,9.40187
169.06,302.711,293.326,9.38441
169.223,303.055,293.688,9.367
169.385,303.676,294.326,9.34964
169.548,299.261,289.928,9.33232
169.711,300.84,291.525,9.31506
169.874,303.229,293.931,9.29783
170.036,296.414,287.133,9.28066
170.199,299.961,290.697,9.26353
170.362,299.182,289.935,9.24645
170.524,296.954,287.724,9.22942
170.687,294.973,285.761,9.21243
170.85,296.159,286.963,9.19549
171.013,294.817,285.639,9.1786
171.175,299.127,289.965,9.16175
171.338,300.038,290.893,9.14495
171.501,301.628,292.5,9.12819
171.663,299.49,290.379,9.11148
171.826,300.141,291.046,9.09481
171.989,297.318,288.24,9.07819
172.152,297.354,288.292,9.06161
172.314,296.014,286.969,9.04508
172.477,296.994,287.965,9.0286
172.64,297.286,288.274,9.01215
172.802,297.554,288.558,8.99576
172.965,295.268,286.289,8.9794
173.128,299.026,290.063,8.96309
173.291,295.877,286.93,8.94683
173.453,298.975,290.044,8.93061
173.616,296.204,287.289,8.91443
173.779,299.017,290.118,8.89829
173.941,298.236,289.354,8.8822
174.104,294.599,285.732,8.86615
174.267,294.423,285.573,8.85015
174.43,294.545,285.711,8.83418
174.592,298.535,289.717,8.81826
174.755,299.124,290.322,8.80239
174.918,298.412,289.626,8.78655
175.08,294.947,286.176,8.77076
175.243,293.911,285.156,8.75501
175.406,296.326,287.587,8.7393
175.569,298.602,289.878,8.72363
175.731,297.014,288.306,8.708
175.894,294.23,285.538,8.69242
176.057,294.331,285.654,8.67688
176.219,293.239,284.577,8.66138
176.382,295.371,286.725,8.64592
176.545,294.278,285.647,8.6305
176.708,294.338,285.723,8.61512
176.87,295.232,286.632,8.59978
177.033,296.796,288.212,8.58448
177.196,295.69,287.12,8.56922
177.358,294.062,285.508,8.55401
177.521,296.162,287.623,8.53883
177.684,295.036,286.512,8.52369
177.847,296.542,288.034,8.50859
178.009,294.862,286.369,8.49354
178.172,292.293,283.814,8.47852
178.335,298.605,290.142,8.46354
178.497,298.313,289.864,8.4486
178.66,296.778,288.344,8.4337
178.823,295.903,287.484,8.41884
178.986,292.702,284.298,8.40401
179.148,295.414,287.024,8.38923
179.311,297.696,289.322,8.37448
179.474,294.293,285.934,8.35978
179.636,297.872,289.526,8.34511
179.799,295.172,286.842,8.33048
179.962,297.015,288.699,8.31588
180.125,295.521,287.22,8.30133
180.287,293.256,284.969,8.28681
180.45,294.66,286.387,8.27233
180.613,296.314,288.056,8.25789
180.775,295.106,286.863,8.24349
180.938,295.329,287.099,8.22912
181.101,295.606,287.391,8.21479
181.264,294.644,286.443,8.2005
181.426,294.62,286.434,8.18624
181.589,295.87,287.698,8.17202
181.752,295.177,287.019,8.15784
181.914,292.213,284.069,8.14369
182.077,295.367,287.238,8.12958
182.24,292.105,283.99,8.11551
182.403,294.605,286.504,8.10147
182.565,296.774,288.687,8.08747
182.728,290.666,282.593,8.0735
182.891,293.845,285.785,8.05957
183.053,294.882,286.836,8.04568
183.216,294.988,286.956,8.03182
183.379,291.711,283.693,8.018
183.542,295.571,287.567,8.00421
183.704,291.728,283.738,7.99046
183.867,295.449,287.472,7.97674
184.03,292.414,284.45,7.96306
184.192,292.952,285.003,7.94941
184.355,293.839,285.903,7.93579
184.518,293.755,285.832,7.92222
184.681,296.115,288.206,7.90867
184.843,294.417,286.522,7.89516
185.006,294.88,286.999,7.88169
185.169,291.616,283.748,7.86824
185.331,290.814,282.96,7.85484
185.494,288.96,281.118,7.84146
185.657,290.222,282.394,7.82812
185.82,292.709,284.894,7.81482
185.982,295.762,287.96,7.80155
186.145,293.532,285.743,7.78831
186.308,291.168,283.393,7.7751
186.47,295.24,287.478,7.76193
186.633,297.31,289.561,7.74879
186.796,293.671,285.936,7.73568
186.959,291.684,283.962,7.72261
187.121,290.61,282.901,7.70957
187.284,293.085,285.389,7.69656
187.447,293.653,285.969,7.68358
187.609,296.401,288.73,7.67064
187.772,292.727,285.069,7.65773
187.935,289.936,282.291,7.64485
188.098,295.322,287.69,7.63201
188.26,290.405,282.786,7.61919
188.423,291.373,283.767,7.60641
188.586,292.471,284.877,7.59366
188.748,288.457,280.876,7.58094
188.911,292.349,284.78,7.56825
189.074,291.968,284.413,7.5556
189.237,291.396,283.853,7.54297
189.399,289.268,281.738,7.53038
189.562,290.71,283.192,7.51782
189.725,290.565,283.059,7.50529
189.887,287.732,280.239,7.49279
190.05,292.912,285.431,7.48032
190.213,291.314,283.846,7.46788
190.376,289.858,282.402,7.45548
190.538,289.643,282.2,7.4431
190.701,293.553,286.122,7.43075
190.864,289.066,281.647,7.41844
191.026,291.229,283.822,7.40615
191.189,292.784,285.39,7.3939
191.352,291.968,284.587,7.38167
191.515,288.757,281.388,7.36948
191.677,291.981,284.624,7.35731
191.84,290.193,282.848,7.34518
192.003,297.026,289.693,7.33307
192.165,291.699,284.378,7.32099
192.328,292.577,285.268,7.30895
192.491,285.857,278.56,7.29693
