Time (ps),Radius (nm)
329.5,1.56559
330,1.56514
330.5,1.5652
331,1.56589
331.5,1.56572
332,1.5654
332.5,1.56561
333,1.56517
333.5,1.56545
334,1.56558
334.5,1.56563
335,1.56527
335.5,1.56547
336,1.56525
336.5,1.56534
337,1.56567
337.5,1.56543
338,1.56514
338.5,1.56558
339,1.56545
339.5,1.56543
340,1.56574
340.5,1.56563
341,1.56539
341.5,1.56557
342,1.56554
342.5,1.56521
343,1.56544
343.5,1.56566
344,1.56521
344.5,1.56519
345,1.5657
345.5,1.56542
346,1.56571
346.5,1.56567
347,1.56534
347.5,1.56553
348,1.56541
348.5,1.56512
349,1.5655
349.5,1.56571
350,1.5656
350.5,1.56548
351,1.5654
351.5,1.56566
352,1.56524
352.5,1.56512
353,1.56615
353.5,1.56512
354,1.56516
354.5,1.56633
355,1.56571
355.5,1.56492
356,1.56573
356.5,1.56558
357,1.56486
357.5,1.56565
358,1.56586
358.5,1.56504
359,1.56567
359.5,1.56556
360,1.56533
360.5,1.56526
361,1.56553
361.5,1.56548
362,1.56547
362.5,1.56523
363,1.56565
363.5,1.56554
364,1.56532
364.5,1.56512
365,1.56552
365.5,1.56523
366,1.56556
366.5,1.56549
367,1.56546
367.5,1.56516
368,1.56554
368.5,1.56585
369,1.5653
369.5,1.56548
370,1.56578
370.5,1.56516
371,1.56526
371.5,1.5657
372,1.56557
372.5,1.56515
373,1.56513
373.5,1.56574
374,1.56551
374.5,1.56467
375,1.56579
375.5,1.56544
376,1.56494
376.5,1.56609
377,1.56565
377.5,1.56477
378,1.56524
378.5,1.56599
379,1.56558
379.5,1.56546
380,1.56534
380.5,1.56541
381,1.5655
381.5,1.56522
382,1.56557
382.5,1.56597
383,1.5653
383.5,1.56519
384,1.56565
384.5,1.56555
385,1.56533
385.5,1.56549
386,1.56555
386.5,1.56537
387,1.56585
387.5,1.5654
388,1.56555
388.5,1.56575
389,1.56522
389.5,1.56492
390,1.56525
390.5,1.56514
391,1.56505
391.5,1.56525
392,1.56517
392.5,1.56517
393,1.56539
393.5,1.5652
394,1.56502
394.5,1.56511
395,1.56494
395.5,1.56535
396,1.56507
396.5,1.56494
397,1.56557
397.5,1.56507
398,1.56503
398.5,1.56542
399,1.56537
399.5,1.56496
400,1.56527
400.5,1.56511
401,1.56522
401.5,1.56519
402,1.56513
402.5,1.56543
403,1.56484
403.5,1.56513
404,1.56522
404.5,1.56534
405,1.56496
405.5,1.56557
406,1.5655
406.5,1.5653
407,1.56474
407.5,1.56508
408,1.56504
408.5,1.56525
409,1.56536
409.5,1.56515
410,1.5648
410.5,1.5653
411,1.56535
411.5,1.56516
412,1.56517
412.5,1.56557
413,1.56557
413.5,1.56475
414,1.56507
414.5,1.56546
415,1.5652
415.5,1.56503
416,1.56532
416.5,1.56548
417,1.56449
417.5,1.56532
418,1.56575
418.5,1.56496
419,1.5652
419.5,1.5657
420,1.56495
420.5,1.56465
421,1.56565
421.5,1.56516
422,1.56546
422.5,1.56471
423,1.56515
423.5,1.56529
424,1.56546
424.5,1.56486
425,1.56523
425.5,1.56552
426,1.56517
426.5,1.56533
427,1.56547
427.5,1.56535
428,1.56479
428.5,1.56518
429,1.56537
429.5,1.56513
430,1.56493
430.5,1.56541
431,1.56515
431.5,1.56474
432,1.56562
432.5,1.56506
433,1.56492
433.5,1.5654
434,1.565
434.5,1.56481
435,1.56513
435.5,1.56523
436,1.56534
436.5,1.56481
437,1.56522
437.5,1.56543
438,1.56469
438.5,1.56532
439,1.5654
439.5,1.5653
440,1.56524
440.5,1.56464
441,1.56561
441.5,1.56541
442,1.56538
442.5,1.56523
443,1.56534
443.5,1.56529
444,1.56499
444.5,1.56478
445,1.56551
445.5,1.56502
446,1.56506
446.5,1.56564
447,1.56495
447.5,1.56467
448,1.56518
448.5,1.56519
449,1.5654
449.5,1.56505
450,1.5651
450.5,1.56485
451,1.56484
451.5,1.56501
452,1.5653
452.5,1.56523
453,1.56488
453.5,1.56515
454,1.56574
454.5,1.5649
455,1.56522
455.5,1.56577
456,1.56526
456.5,1.56492
457,1.56519
457.5,1.56527
458,1.56518
458.5,1.56503
459,1.56511
459.5,1.5654
460,1.56461
460.5,1.56532
461,1.56546
461.5,1.56496
462,1.56573
462.5,1.56514
463,1.56472
463.5,1.56536
464,1.56497
464.5,1.56464
465,1.56569
465.5,1.56521
466,1.56485
466.5,1.56561
467,1.56526
467.5,1.56497
468,1.56547
468.5,1.5654
469,1.56461
469.5,1.56551
470,1.56551
470.5,1.56495
471,1.56511
471.5,1.56513
472,1.56497
472.5,1.56492
473,1.56529
473.5,1.56543
474,1.56489
474.5,1.56523
475,1.56569
475.5,1.56475
476,1.56521
476.5,1.56536
477,1.565
477.5,1.56525
478,1.56558
478.5,1.56503
479,1.56482
479.5,1.56571
480,1.56534
480.5,1.56498
481,1.56504
481.5,1.56516
